window,date range,Exp.1-annualized_sharpe,Exp.1-annualized_volatility,Exp.1-annualized_sortino,Exp.1-max_drawdown,Exp.1-total_return-annualized,Exp.2-annualized_sharpe ratio,Exp.2-annualized_volatility,Exp.2-annualized_sortino,Exp.2-max_drawdown,Exp.2-total_return-annualized,Exp.3a-annualized_sharpe,Exp.3a-annualized_volatility,Exp.3a-annualized_sortino,Exp.3a-max_drawdown,Exp.3a-total_return-annualized,Exp.3b-annualized_sharpe,Exp.3b-annualized_volatility,Exp.3b-annualized_sortino,Exp.3b-max_drawdown,Exp.3b-total_return-annualized
1,03-Aug-2021 - 31-Oct-2021,2.696779066,0.694463248,4.154607814,0.3717551463,4.105075989,2.69274574,0.8695878035,3.962150081,0.3899966271,6.105015234,2.77090168,0.763718826,4.241041155,0.3767583277,5.186298572,2.692745749,0.8695878023,3.962150095,0.3899966279,6.105015274
2,03-Oct-2021 - 31-Dec-2021,1.309130346,0.7392432676,2.114617627,0.3815671715,1.009330179,1.363440953,0.7388388606,2.192247853,0.3815809309,1.090886652,0.6172674042,0.685939269,0.9116360181,0.2853915095,0.2076239048,0.0332683462,0.609080057,0.04684281066,0.308631295,-0.1517107949
3,03-Dec-2021 - 02-Mar-2022,-2.236029121,0.8171453073,-3.004010864,0.4404499841,-0.7708893258,-2.308019988,0.8247022134,-3.175630469,0.4125927419,-0.7806506169,-1.789555335,0.7108671006,-2.746691384,0.3882579475,-0.7375942117,-1.392494512,0.762020445,-2.211691743,0.4125927419,-0.7806506169
4,02-Feb-2022 - 29-Apr-2022,0.6060487273,0.6650416679,1.070009861,0.2219234744,0.2076126257,0.5615651279,0.6711358131,0.9498219553,0.2302813013,0.170533693,0.6038402248,0.6654254625,1.065628196,0.2215603849,0.2058151573,0.6952530083,0.6161632562,1.161031985,0.2063901342,0.2740946572
5,05-Apr-2022 - 02-Jul-2022,-4.570095931,0.9370564253,-6.280965842,0.7076331694,-0.9914082619,-2.871837261,0.8751923359,-3.534371745,0.5569427896,-0.9459313886,-4.622236319,0.8345290807,-6.240168734,0.6594142266,-0.985519106,-4.408868404,0.7428879396,-5.519480047,0.58851611,-0.9719554515
6,03-Jun-2022 - 30-Aug-2022,0.02292984498,0.7170336305,0.03073641386,0.400783416,-0.2139699751,-0.04723935847,1.076381223,-0.07030165712,0.4980822352,-0.4642154,0.02292984498,0.7170336305,0.03073641386,0.400783416,-0.2139699751,-0.04723936073,1.076381224,-0.07030166049,0.4980822355,-0.4642154019
7,03-Aug-2022 - 31-Oct-2022,0.2238728706,0.7519997341,0.2973835834,0.3716720265,-0.1091597992,-0.5744547268,0.5162168539,-0.7284569687,0.2471674712,-0.3495315472,0.08864452999,0.4624060507,0.1121812468,0.221635213,-0.06379943027,0.5432846223,0.5541667792,0.6962082291,0.2786496991,0.1583825883
8,03-Oct-2022 - 31-Dec-2022,-1.061346171,0.5121474187,-1.222901178,0.2547931929,-0.4920355025,-0.3057530689,0.7229002282,-0.3812306881,0.3113255433,-0.3838172462,-0.1273537936,0.7842292785,-0.1582575214,0.329301283,-0.3357571234,-1.050858547,0.5229487149,-1.200104456,0.2602486965,-0.498021856
9,03-Dec-2022 - 02-Mar-2023,3.312706717,0.4300827689,6.27166635,0.3381136229,2.790898928,2.500662263,0.4244360713,4.120670914,0.3164467355,1.643137908,3.31238824,0.4300993085,6.271092463,0.338120614,2.790562424,0.5078146663,0.5003597936,0.6617235134,0.3056916225,0.1374430374
10,02-Feb-2023 - 29-Apr-2023,-0.007681463531,0.4726974071,-0.01108561612,0.2062083323,-0.1075839016,0.1903914373,0.4757412449,0.2765518423,0.2062107341,-0.02080670121,0.664607179,0.4719471981,1.02524285,0.2365468288,0.2264461423,0.1903914305,0.4757412452,0.2765518326,0.2062107342,-0.02080670448
11,05-Apr-2023 - 02-Jul-2023,0.2002618546,0.3834250994,0.274134793,0.1937832877,0.003987469736,0.6820694482,0.3944137858,0.9823327475,0.192774326,0.2117245187,0.4387779379,0.4515938112,0.5975367814,0.2208481162,0.1016699578,-1.294009261,0.4083859067,-1.491606614,0.2876511452,-0.4582825219
12,03-Jun-2023 - 30-Aug-2023,-0.3164328844,0.3666646151,-0.4278632114,0.1773951777,-0.1668944189,-1.489096306,0.3727308589,-1.83809116,0.1940887835,-0.4646443304,-0.2817242725,0.3581613822,-0.3716945916,0.1745495833,-0.1516809768,-0.4437117932,0.3782181794,-0.6125855081,0.1865514667,-0.2123037169
13,03-Aug-2023 - 31-Oct-2023,-0.2758465579,0.3048863429,-0.3521813579,0.1677585936,-0.1221219415,-0.7966578087,0.2772245215,-1.051110392,0.1635305889,-0.2282563392,-0.7966578087,0.2772245215,-1.051110392,0.1635305889,-0.2282563392,0.5811659659,0.3379298341,0.7783937101,0.1768477959,0.1502535737
14,03-Oct-2023 - 31-Dec-2023,4.244740643,0.4315943954,7.388807733,0.3910945659,4.681914537,3.730191754,0.4155316113,6.166388534,0.3638349956,3.31768938,2.870395726,0.4935618543,5.389085596,0.3524592868,2.657285767,3.245134542,0.5140943188,4.696718221,0.3671513902,3.643338453
15,03-Dec-2023 - 01-Mar-2024,3.909230884,0.4931974256,5.978843563,0.3649436447,5.074807768,4.023214914,0.4779827764,6.059558859,0.3595913791,5.087212645,3.54378636,0.4820433474,5.89848372,0.3656706274,3.91038712,3.940909919,0.4965967304,6.691248114,0.364468879,5.243875787
16,02-Feb-2024 - 29-Apr-2024,2.994828194,0.6023028276,4.612787059,0.417443045,4.062571599,2.475639763,0.6463055043,3.449753306,0.4366277398,3.016976433,2.449263778,0.6468678548,3.423981132,0.4366591988,2.953374678,4.11414065,0.6117958505,5.930032676,0.4808916183,9.233925861
17,04-Apr-2024 - 01-Jul-2024,0.7057581376,0.5575253319,1.498924055,0.2512642181,0.279811039,0.05759624375,0.4560980181,0.09000267425,0.2410733126,-0.07341772021,0.101488438,0.4697784176,0.1563380816,0.2489231609,-0.05924037172,0.1155642175,0.4673097111,0.1912862029,0.2370223386,-0.05174109552
18,03-Jun-2024 - 30-Aug-2024,-2.252632791,0.6369642327,-3.216230831,0.3938081508,-0.805665583,-0.7716292676,0.6032994422,-1.19672904,0.3472496679,-0.4756524073,-0.7716292676,0.6032994422,-1.19672904,0.3472496679,-0.4756524073,-0.7716292402,0.6032994423,-1.196729002,0.3472496668,-0.4756523987
19,03-Aug-2024 - 31-Oct-2024,1.361772124,0.5098414228,2.258307062,0.2558161526,0.7628761913,-0.5679504347,0.648782241,-0.8187028128,0.2334869302,-0.4379449946,1.365845876,0.5093381908,2.264100977,0.2558633861,0.7657562314,1.427732717,0.5036566203,2.368768674,0.2565850033,0.8125642017
20,03-Oct-2024 - 31-Dec-2024,2.49646262,0.653574773,4.664438836,0.4128005545,3.143385802,2.063796558,0.5268777564,3.783980278,0.2629880431,1.590225391,1.978804469,0.5252655183,3.566274464,0.2629519582,1.471304081,2.208048762,0.5279320519,4.056021223,0.2732179061,1.799092866
21,03-Dec-2024 - 02-Mar-2025,-1.704080511,0.7107520699,-2.579270573,0.4456624057,-0.7687469325,0.07189749562,0.443957363,0.112853615,0.1985203819,-0.06290592023,-0.03220830253,0.4654890697,-0.05023108112,0.2132148734,-0.1144157575,-1.748106388,0.6114785965,-2.588650709,0.3974348379,-0.715198771
22,02-Feb-2025 - 29-Apr-2025,-0.007815117878,0.5394174052,-0.01147915662,0.2413293192,-0.1370952389,0.008321162226,0.5475504672,0.01219895488,0.2421747533,-0.1333274653,-0.1714906988,0.539819755,-0.220769571,0.2429089117,-0.2116423006,-0.6845558205,0.5854531261,-0.9561320747,0.2921406804,-0.4346499204
